Timestamp,"Kommst du aus Deutschland, Österreich oder der Schweiz?",Was ist die Postleitzahl deines Wohnortes?
12/9/2011 3:00:52,Deutschland,69214
12/9/2011 7:25:06,Deutschland,35392
12/9/2011 8:30:30,Deutschland,67434
12/9/2011 8:59:19,Deutschland,10439
12/9/2011 10:24:00,Deutschland,70619
12/9/2011 10:50:40,Deutschland,12623
12/9/2011 10:55:52,Deutschland,33332
12/9/2011 11:51:16,Deutschland,35390
12/9/2011 12:17:05,Deutschland,76532
12/9/2011 12:45:27,Deutschland,4105
12/9/2011 13:14:17,Deutschland,50354
12/9/2011 13:46:10,Deutschland,76135
12/9/2011 13:49:21,Deutschland,22765
12/9/2011 14:20:58,Deutschland,18106
12/9/2011 15:13:25,Deutschland,44866
12/9/2011 17:53:26,Deutschland,90403
12/9/2011 20:25:56,Deutschland,82110
12/9/2011 23:08:22,Schweiz,8105
12/10/2011 1:56:45,Deutschland,86150
12/10/2011 9:44:33,Österreich,4600
12/10/2011 14:27:37,Deutschland,85662
12/10/2011 17:54:57,Deutschland,99096
12/11/2011 12:26:39,Deutschland,38114
12/11/2011 12:59:35,Deutschland,38118
12/11/2011 23:47:18,Deutschland,70173
12/30/2011 16:52:01,Deutschland,55116
