possible	possible	
table	table	
comfortable	confortable	
it is / that is	c’est	
the life	la vie	
It is possible.	C’est possible.	
It is comfortable.	C’est confortable.	
good	bon	
It is good.	C’est bon.	
very	très	
It is very good.	C’est très bon.	
It is very comfortable.	C’est très confortable.	
It is probable.	C’est probable.	
It is acceptable.	C’est acceptable.	
for me	pour moi	
It is for me.	C’est pour moi.	
for you	pour vous	
It is for you.	C’est pour vous.	
It is very comfortable for me.	C’est très confortable pour moi.	
it is not	ce n’est pas	
Not for me, thank you.	Pas pour moi, merci.	
thanks	merci	
It is not for me.	Ce n’est pas pour moi.	
It is not very comfortable for me.	Ce n’est pas très confortable pour moi.	
so-so (lit. like this, like that)	comme ci, comme ça	
like that / that way	comme ça	
It is like that (that way).	C’est comme ça.	
It is not like that.	Ce n’est pas comme ça.	
I’m sorry...	je regrette...	
I’m sorry but...	Je regrette mais...	
but	mais	
I’m sorry but it is not very comfortable for me that way.	Je regrette mais ce n’est pas très confortable pour moi comme ça.	
I’m sorry but it is not acceptable for me that way.	Je regrette mais ce n’est pas acceptable pour moi comme ça.	
It is very remarkable.	C’est très remarquable.	
considerable	considérable	
different	différent	
important	important	
It is not very different that way.	Ce n’est pas très différent comme ça.	
But it is very important for me.	Mais c’est très important pour moi.	
very important	très important	
evident	évident	
recent	récent	
constant	constant	
necessary	nécessaire	
It is not necessary for me.	Ce n’est pas nécessaire pour moi.	
contrary	contraire	
on the contrary	au contraire	
military	militaire	
vocabulary	vocabulaire	
I would like...	je voudrais...	
to speak	parler	
to speak French	parler français	
I would like to speak French.	Je voudrais parler français.	
with	avec	
with you	avec vous	
with me	avec moi	
I would like to speak French with you.	Je voudrais parler français avec vous.	
Will you...? / Will you..., please? / Do you want...?	Voulez-vous...?	
Will you speak French with me?	Voulez-vous parler français avec moi?	
to come	venir	
Will you come with me?	Voulez-vous venir avec moi?	
to eat	manger	
Will you eat?	Voulez-vous manger?	
Will you come eat with me?	Voulez-vous venir manger avec moi?	
to go	aller	
Will you go eat with me?	Voulez-vous aller manger avec moi?	
Where?	Où?	
Where do you want to go?	Où voulez-vous aller?	
Where do you want to go eat?	Où voulez-vous aller manger?	
tonight	ce soir	
It is for tonight.	C’est pour ce soir.	
Where do you want to go eat tonight?	Où voulez-vous aller manger ce soir?	
to have dinner	dîner	
the dinner	le dîner	
Where do you want to have dinner tonight?	Où voulez-vous dîner ce soir?	
Do you want to come have dinner with me tonight?	Voulez-vous venir dîner avec moi ce soir?	
to know	savoir	
I would like to know...	Je voudrais savoir...	
I would like to know where...	Je voudrais savoir où...	
I would like to know where it is.	Je voudrais savoir où c’est.	
How much?	Combien?	
I would like to know how much it is.	Je voudrais savoir combien c’est.	
something	quelque chose	
the thing	la chose	
the same thing	la même chose	
I would like to eat something.	Je voudrais manger quelque chose.	
I would like to eat the same thing.	Je voudrais manger la même chose.	
Do you want to eat something?	Voulez-vous manger quelque chose?	
Do you want to eat the same thing?	Voulez-vous manger la même chose?	
The same thing for me, please.	La même chose pour moi, s’il vous plaît.	
I would like the same thing for me, please.	Je voudrais la même chose pour moi, s’il vous plaît.	
difference	différence	
preference	préférence	
importance	importance	
influence	influence	
the difference	la différence	
a difference	une différence	
What difference?	Quelle différence?	
What? / Which?	Quel?	
the preference	la préférence	
a preference	une préférence	
What preference?	Quelle préférence?	
Have you? / Do you have?	Avez-vous?	
Do you have a preference?	Avez-vous une préférence?	
What preference do you have?	Quelle préférence avez-vous?	
For what restaurant do you have a preference tonight?	Pour quel restaurant avez-vous une préférence ce soir?	
opinion	opinion	
condition	condition	
the condition	la condition	
a condition	une condition	
What condition?	Quelle condition?	
position	position	
the position	la position	
a position	une position	
What position?	Quelle position?	
reservation	réservation	
the reservation	la réservation	
a reservation	une réservation	
What reservation?	Quelle réservation?	
Do you have a reservation for me for tonight?	Avez-vous une réservation pour moi pour ce soir?	
What sort...?	Quelle sorte...?	
What kind of reservation do you have for me for tonight?	Quelle sorte de réservation avez-vous pour moi pour ce soir?	
What kind of reservation do you want for tonight?	Quelle sorte de réservation voulez-vous pour ce soir?	
translation	traduction	
I would like a translation.	Je voudrais une traduction.	
to do / to make	faire	
Will you make a reservation for me?	Voulez-vous faire une réservation pour moi?	
What kind of reservation do you want to make?	Quelle sorte de réservation voulez-vous faire?	
Will you make a translation for me?	Voulez-vous faire une traduction pour moi?	
explanation	explication	
to give	donner	
Will you give an explanation for me?	Voulez-vous donner une explication pour moi?	
vacation	les vacances	
to spend money	dépenser	
to spend time	passer le temps	
to spend the vacation	passer les vacances	
Where do you want to spend the vacation?	Où voulez-vous passer les vacances?	
the situation	la situation	
What impression do you have of the situation?	Quelle impression avez-vous de la situation?	
political	politique	
economical	économique	
philosophical	philosophique	
astronomical	astronomique	
logical	logique	
practical	pratique	
It is not logical but it is very practical that way.	Ce n’est pas logique mais c’est très pratique comme ça.	
the political situation	la situation politique	
the economical situation	la situation économique	
the political and economical situation	la situation politique et économique	
in France	en France	
I would like to go to France.	Je voudrais aller en France.	
I would like to spend the vacation(s) in France.	Je voudrais passer les vacances en France.	
What impression do you have of the political and economical situation in France at the present time?	Quelle impression avez-vous de la situation politique et économique en France à présent?	
restaurant	restaurant	
It is very small.	C’est très petit.	
too / too much	trop	
late	tard	
It is very late.	C’est très tard.	
It is too late.	C’est trop tard.	
It is too much for me.	C’est trop pour moi.	
big / tall	grand	
He is big.	Il est grand.	
She is big/tall.	Elle est grande.	
She is small.	Elle est petite.	
fast	vite	
It is very fast.	C’est très vite.	
It is too fast for me.	C’est trop vite pour moi.	
